Serial No, Symptom1, Symptom2, Symptom3, Medicine
1, Headache, Fever, Nausea, Paracetamol
2, High Cold, Sneezing, Sore Throat, Ibuprofen
3, Shivering, Body Ache, Fatigue, Aspirin
4, Cough, Shortness of Breath, Chest Pain, Cough Syrup
5, Upset Stomach, Diarrhea, Abdominal Pain, Loperamide
6, Joint Pain, Swelling, Redness, Naproxen
7, Insomnia, Anxiety, Restlessness, Diazepam
8, Dry Cough, Difficulty Breathing, Wheezing, Inhaler
9, Acid Reflux, Heartburn, Indigestion, Omeprazole
10, Diabetes, Increased Thirst, Fatigue, Metformin
11, Migraine, Light Sensitivity, Nausea, Sumatriptan
12, Allergic Rhinitis, Itchy Eyes, Runny Nose, Loratadine
13, Arthritis, Morning Stiffness, Joint Swelling, Methotrexate
14, Hypertension, Dizziness, Blurred Vision, Amlodipine
15, Gastroenteritis, Vomiting, Fever, Oral Rehydration Solution
16, Urinary Tract Infection, Painful Urination, Frequency, Ciprofloxacin
17, Asthma, Chest Tightness, Shortness of Breath, Albuterol
18, Insulinoma, Hypoglycemia, Confusion, Glucagon
19, Osteoporosis, Bone Fractures, Loss of Height, Alendronate
20, Hypothyroidism, Fatigue, Weight Gain, Levothyroxine
21, Hyperthyroidism, Weight Loss, Rapid Heartbeat, Propylthiouracil
22, Anemia, Fatigue, Pale Skin, Iron Supplements
23, Gout, Joint Pain, Swelling, Colchicine
24, Peptic Ulcer, Abdominal Pain, Vomiting Blood, Ranitidine
25, Major Depressive Disorder, Persistent Sadness, Sleep Disturbance, Sertraline
26, Panic Disorder, Panic Attacks, Trembling, Clonazepam
27, Seasonal Affective Disorder, Low Energy, Oversleeping, Light Therapy
28, Attention Deficit Hyperactivity Disorder, Inattention, Impulsivity, Methylphenidate
29, Chronic Obstructive Pulmonary Disease, Chronic Cough, Shortness of Breath, Tiotropium
30, Hypertensive Crisis, Severe Headache, Nosebleeds, Hydralazine
31, Deep Vein Thrombosis, Leg Swelling, Pain, Warfarin
32, Psoriasis, Red Patches, Scaling, Topical Corticosteroids
33, Glaucoma, Increased Eye Pressure, Peripheral Vision Loss, Timolol
34, Vertigo, Dizziness, Nausea, Meclizine
35, Rheumatoid Arthritis, Joint Stiffness, Swelling, Etanercept
36, Irritable Bowel Syndrome, Abdominal Pain, Bloating, Peppermint Oil
37, Premenstrual Syndrome, Mood Swings, Cramps, NSAIDs
38, Benign Prostatic Hyperplasia, Difficulty Urinating, Frequent Urination, Tamsulosin
39, Hypertensive Emergency, Severe Hypertension, Organ Damage, Nicardipine
40, Systemic Lupus Erythematosus, Joint Pain, Skin Rash, Hydroxychloroquine
41, Diabetic Neuropathy, Numbness, Tingling, Gabapentin
42, Crohn's Disease, Abdominal Pain, Diarrhea, Infliximab
43, Hyperlipidemia, High Cholesterol, Statin, Rosuvastatin
44, Erectile Dysfunction, Difficulty Maintaining Erection, Sildenafil
45, Opioid Addiction, Cravings, Withdrawal Symptoms, Methadone
46, Opioid Overdose, Respiratory Depression, Unresponsiveness, Naloxone
47, Bipolar Disorder, Mood Swings, Mania, Lithium
48, Narcolepsy, Excessive Daytime Sleepiness, Cataplexy, Modafinil
49, Fibromyalgia, Widespread Pain, Fatigue, Pregabalin
50, Hypercalcemia, Weakness, Kidney Stones, Hydration
51, Anaphylaxis, Difficulty Breathing, Swelling, Epinephrine
52, Myasthenia Gravis, Muscle Weakness, Fatigue, Pyridostigmine
53, Pancreatitis, Abdominal Pain, Nausea, Fasting
54, Melasma, Brown Patches, Sunscreen, Hydroquinone
55, Ovarian Cancer, Abdominal Bloating, Pelvic Pain, Chemotherapy
56, Endometriosis, Pelvic Pain, Painful Periods, Birth Control Pills
57, Alzheimer's Disease, Memory Loss, Cognitive Decline, Donepezil
58, Parkinson's Disease, Tremors, Rigidity, Levodopa
59, Celiac Disease, Abdominal Pain, Diarrhea, Gluten-Free Diet
60, Diverticulitis, Abdominal Pain, Fever, Antibiotics
61, Menopause, Hot Flashes, Night Sweats, Hormone Replacement Therapy
62, Testicular Cancer, Testicular Lump, Pain, Orchiectomy
63, Multiple Sclerosis, Fatigue, Numbness, Disease-Modifying Therapy
64, Peripheral Artery Disease, Leg Pain, Claudication, Antiplatelet Agents
65, Wilson's Disease, Liver Dysfunction, Neurological Symptoms, Chelation Therapy
66, Pneumonia, Cough, Fever, Antibiotics
67, Encephalitis, Fever, Headache, Antiviral Medications
